id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
468,75-05-8,127-19-5
469,75-05-8,127-19-5
470,108-88-3
471,108-88-3
472,127-19-5
473,109-99-9
474,109-99-9
475,75-05-8
476,108-87-2
477,108-88-3,111-65-9
478,67-56-1,108-88-3
479,108-88-3
480,108-88-3
481,109-99-9
482,109-99-9
483,108-88-3
484,108-88-3,7732-18-5
485,75-09-2
486,108-88-3,7732-18-5
487,67-63-0,98-08-8
488,108-88-3
489,108-88-3
490,108-88-3
491,109-99-9
492,108-88-3
493,109-99-9
494,109-99-9
495,109-99-9
496,109-99-9
497,123-91-1
498,123-91-1
499,109-99-9,7732-18-5
500,67-68-5
501,109-99-9,127-19-5
502,110-71-4
503,110-71-4,5614-37-9
504,123-91-1
505,109-99-9,68-12-2
506,109-99-9,68-12-2
507,127-19-5
508,64-17-5
509,127-19-5
510,75-05-8
511,75-05-8
512,75-05-8
513,75-05-8,127-19-5
514,127-19-5
515,108-20-3,127-19-5
516,108-20-3,127-19-5
517,109-99-9
518,109-99-9
519,109-99-9
520,108-88-3
521,64-17-5
522,64-17-5
523,64-17-5
524,108-20-3,7732-18-5
525,123-91-1
526
527,123-91-1
528,108-88-3,110-80-5
529,108-88-3
530,67-56-1,108-88-3,75-09-2
531,67-56-1,108-88-3,75-09-2
532,67-56-1,108-88-3
533,67-56-1,108-88-3
534,108-88-3
535,108-88-3
536,67-56-1,108-88-3
537,123-91-1
538,67-56-1,108-88-3,75-09-2
539,108-88-3,7732-18-5
540,108-88-3,7732-18-5
541,108-88-3
542,123-91-1
543,108-88-3
544,108-88-3,7732-18-5
545,109-99-9
546,108-88-3
547,109-99-9
548,123-91-1
549,109-99-9
550,7732-18-5,60-29-7
551,108-88-3
552,123-91-1
553,123-91-1
554,123-91-1
555,123-91-1
556,123-91-1
557,123-91-1
558,109-99-9
559,109-99-9
560,109-99-9
561,123-91-1
562,123-91-1
563,109-99-9,7732-18-5
564,127-19-5
565,123-91-1
566,123-91-1
567,141-78-6
568,110-71-4,5614-37-9
569,127-19-5
570,67-68-5
571,109-99-9,127-19-5
572,108-88-3
573,109-99-9
574,108-20-3
575,127-19-5
576,109-99-9,127-19-5
577,109-99-9,127-19-5
578,108-20-3,127-19-5
579,109-99-9,127-19-5
580,108-88-3,110-82-7
581,75-05-8,127-19-5
582,60-29-7,109-99-9
583,109-99-9,127-19-5
584,64-17-5
585,64-17-5
586,64-17-5
587,64-17-5
588,108-88-3,109-99-9
589,108-88-3,109-99-9
590,108-20-3
