"CAS_n","Check?","ChemNames","SMILES"
"98327-87-8","NO","2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8"
"128008-30-0","NO","Indium(III) trifluoromethanesulfonate","C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].[In+3]"
"157472-96-3","YES","Tetramethylethylene)bis(3,5-di-tert-butylsalicylideneiminato)]cobalt(II)","CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])C=NC(C)(C)C(C)(C)N=CC2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)[O-].[Co+2]"
"2328084-27-9","YES","(4S,4'S)-Di-tert-butyl 2,2'-(cyclopropane-1,1-diyl)bis(4,5-dihydrooxazole-4-carboxylate)","CC(C)(C)OC(=O)C1COC(=N1)C2(CC2)C3=NC(CO3)C(=O)OC(C)(C)C"
"2304972-43-6","YES",NA,NA
"1890222-58-8","YES",NA,NA
"1075704-39-0","YES",NA,NA
"2538482-51-6","YES",NA,NA
"2538482-56-1","YES",NA,NA
"1034901-50-2","YES","[4,4'-Bis(1,1-dimethylethyl)-2,2'-bipyridine] nickel (II) dichloride","CC(C)(C)C1=CC(=NC=C1)C2=NC=CC(=C2)C(C)(C)C.Cl[Ni]Cl"
"849950-53-4","YES","(1Z,5Z)-cycloocta-1,5-diene;(2S,5S)-1-[2-[(2S,5S)-2,5-diphenylphospholan-1-yl]ethyl]-2,5-diphenylphospholane;rhodium;tetrafluoroborate","[B-](F)(F)(F)F.C1CC=CCCC=C1.C1CC(P(C1C2=CC=CC=C2)CCP3C(CCC3C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6.[Rh]"
"2230256-26-3","YES",NA,NA
"368891-67-2","YES",NA,NA
"176763-62-5","NO","[[[(CH3)3C]2C6H2-2-(O-)CH=N]2C6H10]Co","CC(C)(C)C1=CC(=CNC2CCCCC2NC=C3C=C(C=C(C3=O)C(C)(C)C)C(C)(C)C)C(=O)C(=C1)C(C)(C)C.[Co]"
"23295-32-1","YES","Chloro(pyridine)cobaloxime(III)","CC(=NO)C(=NO)C.CC(=NO)C(=NO)C.C1CC[N-]CC1.Cl[Co+]"
"2410287-42-0","YES","(4S)-4-(Adamantan-1-yl)-2-(pyridin-2-yl)-4,5-dihydrooxazole","C1C2CC3CC1CC(C2)(C3)C4COC(=N4)C5=CC=CC=N5"
"2538482-58-3","YES",NA,NA
"1075704-40-3","YES",NA,NA
"2538482-57-2","YES",NA,NA
"210169-57-6","NO","(R)-DM-Segphos","CC1=CC(=CC(=C1)P(C2=C(C3=C(C=C2)OCO3)C4=C(C=CC5=C4OCO5)P(C6=CC(=CC(=C6)C)C)C7=CC(=CC(=C7)C)C)C8=CC(=CC(=C8)C)C)C"
"46389-47-3","YES","Chrysanthemic acid","CC(=CC1C(C1(C)C)C(=O)O)C"
"2246335-51-1","YES","4-(tert-Butyl)-2-(quinolin-2-yl)-4,5-dihydrooxazole","CC(C)(C)C1COC(=N1)C2=NC3=CC=CC=C3C=C2"
"870987-63-6","YES","(4,4'-Di-tert-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-fEN)phenyl-fEC]iridium(III) Hexafluorophosphate","CC(C)(C)C1=CC(=NC=C1)C2=NC=CC(=C2)C(C)(C)C.C1=CC(=NC=C1C(F)(F)F)C2=C(C=C(C=[C-]2)F)F.C1=CC(=NC=C1C(F)(F)F)C2=C(C=C(C=[C-]2)F)F.F[P-](F)(F)(F)(F)F.[Ir+3]"
"261733-18-0","NO","4,6-Bis(diphenylphosphino)phenoxazine","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC4=C3OC5=C(N4)C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7"
"155806-35-2","NO","(r,s)-Josiphos","CC([C]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)P(C4CCCCC4)C5CCCCC5.C1=C[CH]C=C1.[Fe]"
"2311832-10-5","YES",NA,NA
"2095701-46-3","YES",NA,NA
"1680200-58-1","YES",NA,NA
"1680200-57-0","YES",NA,NA
"1995866-04-0","YES",NA,NA
"1680200-59-2","YES",NA,NA
"676525-77-2","YES","4,4'-Di-tert-butyl-2,2'-bipyridine; bis[2-(pyridin-2-yl)phenyl]iridiumylium; hexafluoro-lambda5-phosphanuide","CC(C)(C)C1=CC(=NC=C1)C2=NC=CC(=C2)C(C)(C)C.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.F[P-](F)(F)(F)(F)F.[Ir+3]"
"33847-51-7","YES",NA,NA
"16997-64-1","YES",NA,NA
"871656-24-5","YES",NA,NA
"10049-08-8","NO","Ruthenium(III) chloride","Cl[Ru](Cl)Cl"
"13462-88-9","NO","Nickel(II) bromide","[Ni](Br)Br"
"603-35-0","NO","Triphenylphosphine","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3"
"1894189-67-3","YES","[4,4'-Bis(tert-butyl)-2,2'-bipyridine]nickel dibromide","CC(C)(C)C1=CC(=NC=C1)C2=NC=CC(=C2)C(C)(C)C.[Ni](Br)Br"
"1416881-52-1","NO","4CzIPN","C1=CC=C2C(=C1)C3=CC=CC=C3N2C4=C(C(=C(C(=C4C#N)N5C6=CC=CC=C6C7=CC=CC=C75)N8C9=CC=CC=C9C1=CC=CC=C18)N1C2=CC=CC=C2C2=CC=CC=C21)C#N"
"674783-97-2","NO","9-Mesityl-10-methylacridinium Perchlorate","CC1=CC(=C(C(=C1)C)C2=C3C=CC=CC3=[N+](C4=CC=CC=C42)C)C.[O-]Cl(=O)(=O)=O"
NA,"YES",NA,NA
"7782-44-7","NO","Oxygen","O=O"
"141-52-6","YES","Ethoxide","CC[O-]"
"75-09-2","NO","Methylene Chloride","C(Cl)Cl"
"13400-13-0","YES","Cesium fluoride","[F-].[Cs+]"
"110-86-1","NO","Pyridine","C1=CC=NC=C1"
"33725-74-5","NO","Tetrabutylammonium borohydride","[B-].CCCC[N+](CCCC)(CCCC)CCCC"
"865-34-9","YES","9H-Purin-2-amine, 9-(2-deoxy-beta-D-erythro-pentofuranosyl)-6-[(phenylmethyl)thio]-","C1C(C(OC1N2C=NC3=C2N=C(N=C3SCC4=CC=CC=C4)N)CO)O"
"7758-89-6","NO","Copper(I) chloride","Cl[Cu]"
"292-64-8","NO","Cyclooctane","C1CCCCCCC1"
"110-83-8","NO","Cyclohexene","C1CCC=CC1"
"865-33-8","YES","Ethyl 1-methylpyrrolidine-3-carboxylate","CCOC(=O)C1CCN(C1)C"
"1333-74-0","YES","Hydrogen","[HH]"
"7439-96-5","NO","Manganese (II) ion","[Mn]"
"7790-28-5","YES","Sodium periodate","[O-]I(=O)(=O)=O.[Na+]"
"534-17-8","NO","Cesium carbonate","C(=O)([O-])[O-].[Cs+].[Cs+]"
"630-08-0","YES","Carbon Monoxide","[C-]#[O+]"
"84-58-2","NO","2,3-Dichloro-5,6-dicyano-1,4-benzoquinone","C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N"
"76-05-1","NO","Trifluoroacetic acid","C(=O)(C(F)(F)F)O"
"141-78-6","NO","Ethyl Acetate","CCOC(=O)C"
"2189683-12-1","YES",NA,NA
"498-66-8","NO","3,6-Endomethylenecyclohexene","C1CC2CC1C=C2"
"638-38-0","NO","Manganese(II) acetate","CC(=O)[O-].CC(=O)[O-].[Mn+2]"
"7087-68-5","YES","Diethyl acetamidomalonate","CCOC(=O)C(C(=O)OCC)NC(=O)C"
"280-57-9","NO","1,4-Diazabicyclo[2.2.2]octane","C1CN2CCN1CC2"
