"CAS_n","Check?","ChemNames","SMILES"
"7758-11-4","NO","Dipotassium hydrogen phosphate","OP(=O)([O-])[O-].[K+].[K+]"
"25714-09-4","YES","2,6-Dimethylpyridine;perchloric acid","CC1=NC(=CC=C1)C.OCl(=O)(=O)=O"
"553-90-2","NO","Dimethyl oxalate","COC(=O)C(=O)OC"
"75-89-8","NO","2,2,2-Trifluoroethanol","C(C(F)(F)F)O"
"109-72-8","NO","Butyllithium","[Li+].CCC[CH2-]"
"7775-41-9","NO","Silver(I) fluoride","F[Ag]"
"96-47-9","NO","2-Methyltetrahydrofuran","CC1CCCO1"
"1652-14-8","YES","Potassium 2,2,2-trifluoroethan-1-olate","C(C(F)(F)F)[O-].[K+]"
"22092-92-8","YES","Diisopropylaminoborane","[B]N(C(C)C)C(C)C"
"532-32-1","NO","Sodium benzoate","C1=CC=C(C=C1)C(=O)[O-].[Na+]"
"768-66-1","NO","2,2,6,6-Tetramethylpiperidine","CC1(CCCC(N1)(C)C)C"
"108-18-9","NO","Diisopropylamine","CC(C)NC(C)C"
"542-91-6","NO","Diethylsilane","CC[Si]CC"
"7558-79-4","NO","Disodium hydrogen phosphate","OP(=O)([O-])[O-].[Na+].[Na+]"
"43729-97-1","YES","Ethanamine, N-methylene-","CCN=C"
"7560-83-0","NO","N-Cyclohexyl-N-methylcyclohexanamine","CN(C1CCCCC1)C2CCCCC2"
"2487-90-3","NO","Trimethoxysilane","CO[Si](OC)OC"
"7550-35-8","NO","Lithium bromide","[Li+].[Br-]"
"142-72-3","NO","Magnesium acetate","CC(=O)[O-].CC(=O)[O-].[Mg+2]"
"629-92-5","NO","Nonadecane","CCCCCCCCCCCCCCCCCCC"
"112-40-3","NO","Dodecane","CCCCCCCCCCCC"
"97-94-9","NO","Triethylborane","B(CC)(CC)CC"
"108-75-8","NO","2,4,6-Trimethylpyridine","CC1=CC(=NC(=C1)C)C"
"75-26-3","NO","2-Bromopropane","CC(C)Br"
"110-97-4","NO","Diisopropanolamine","CC(CNCC(C)O)O"
"996-70-3","NO","Tetrakis(dimethylamino)ethylene","CN(C)C(=C(N(C)C)N(C)C)N(C)C"
"29536-33-2","YES","Tetrabutylammonium dibutylphosphate","CCCC[N+](CCCC)(CCCC)CCCC.CCCCOP(=O)([O-])OCCCC"
"626-67-5","YES","N-Methylpiperidine","CN1CCCCC1"
"101-02-0","NO","Triphenyl phosphite","C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3"
"98-85-1","NO","1-Phenylethanol","CC(C1=CC=CC=C1)O"
"7758-02-3","NO","Potassium bromide","[K+].[Br-]"
