id,smilesRXN,c1,c2,c3,c4,r1,r2,r3,r4,s1,s2,s3,s4,y1
103,C=CCC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCCC2=CC=CC=C2)OC1(C)C,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,86
104,C=CCN=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCCN=CC2=CC=CC=C2)OC1(C)C,2222868-47-3,,,,,,,,1076-43-3,,,,97
105,CN(C)CC=C.CC1(C)OBOC1(C)C>>CN(C)CCCB1OC(C)(C)C(C)(C)O1,2222868-47-3,,,,,,,,1076-43-3,,,,97
106,C=CC1CCC=CC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCC=CC2)OC1(C)C,1863906-70-0,,,,,,,,1076-43-3,,,,97
107,C=CC1CCC=CC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCC=CC2)OC1(C)C,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,96
108,C=CC1CCC=CC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCC=CC2)OC1(C)C,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,96
109,CC(=C)[C@H]1CCC(C)=CC1.CC1(C)OBOC1(C)C>>[H][C@@]1(CCC(C)=CC1)[C@H](C)CB1OC(C)(C)C(C)(C)O1,1877348-67-8,,,,7782-44-7,,,,109-99-9,,,,97
110,COC(=O)CCC=C.CC1(C)OBOC1(C)C>>COC(=O)CCCCB1OC(C)(C)C(C)(C)O1,1863906-70-0,,,,,,,,1076-43-3,,,,97
112,CC1(C)OBOC1(C)C.CN(C(=O)C(C)=C)C1=C(C=CC=C1)C#CC1=CC=C(C)C=C1>>CN1C(=O)[C@@](C)(CB2OC(C)(C)C(C)(C)O2)\C(=C\C2=CC=C(C)C=C2)C2=CC=CC=C12,14024-48-7,824395-67-7,,,,,,,108-88-3,,,,96
113,CC1(C)OBOC1(C)C.CN(C(=O)C(C)=C)C1=C(C=CC(C)=C1)C#CC1=CC=CC=C1>>CN1C(=O)[C@@](C)(CB2OC(C)(C)C(C)(C)O2)\C(=C\C2=CC=CC=C2)C2=CC=C(C)C=C12,14024-48-7,824395-67-7,,,,,,,108-88-3,,,,96
114,[Li].C[Si](C)(C)N[Si](C)(C)C.CC1(C)OB(OC1(C)C)C1=CC=C(I)C=C1>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)N([Si](C)(C)C)[Si](C)(C)C,26305-75-9,166330-10-5,,,,,,,108-88-3,,,,96
115,C1C=C(C2=CC=CC=C12)C1=CC=CC=C1.CC1(C)OBOC1(C)C>>[H][C@@]1(C[C@@]([H])(C2=CC=CC=C12)C1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1,1641581-58-9,,,,7782-44-7,,,,108-88-3,,,,96
