"id","smilesRXN","c1","c2","c3","c4","r1","r2","r3","r4","s1","s2","s3","s4","y1"
37,"C=CN1C2=CC=CC=C2C2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(CCN2C3=CC=CC=C3C3=CC=CC=C23)OC1(C)C","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,"",NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,92
38,"COC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>COC1=CC=C(C=C1)[C@@H](C)B1OC(C)(C)C(C)(C)O1","O=C1C2=CC=CC=3C=4OCC([N]4[Co+2]([Cl-])([Cl-])([N]23)[NH]1C=5C(=CC=CC5C(C)C)C(C)C)C(C)C",NA,NA,"","[B-](CC)(CC)CC.[Na+]",NA,NA,NA,"CC1=CC=CC=C1",NA,NA,NA,99
42,"CC1(C)OBOC1(C)C.C=CCOC1(CCC1)C#CC1=CC=CC=C1>>CC1(C)OB(CC2COC3(CCC3)\C2=C/C2=CC=CC=C2)OC1(C)C","CC(=CC(=O)C)[O-].CC(=CC(=O)C)[O-].[Co+2]","C1=CC=C(C=C1)P(CCCCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4",NA,"",NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,98
43,"BrCCC1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Co]","C1CCC(CC1)N2C=C[N+](=[C-]2)C3CCCCC3",NA,"","CC[O-]","O=O",NA,NA,"CC(C)(C)OC",NA,NA,NA,98
44,"CC(=C)C(C)=C.CC1(C)OB(CC=C)OC1(C)C>>CC(C)=C(C)CC(=C)CB1OC(C)(C)C(C)(C)O1","[Zn](I)I","[Br-][Co+2]1([Br-])[P](C=2C=CC=CC2)(C=3C=CC=CC3)CC[P]1(C=4C=CC=CC4)C=5C=CC=CC5",NA,"","[B-].CCCC[N+](CCCC)(CCCC)CCCC",NA,NA,NA,"C(Cl)Cl",NA,NA,NA,98
45,"CC1=CC=CO1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1=CC=C(O1)B1OC(C)(C)C(C)(C)O1","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C(=CC=CC3C[P]1(C(C)C)C(C)C)C[P]2(C(C)C)C(C)C",NA,"",NA,NA,NA,NA,"CC1=CC=CC=C1","C1CCOC1",NA,NA,98
46,"CC1=CC=CO1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1=CC=C(O1)B1OC(C)(C)C(C)(C)O1","O=C([O-][Co+2]123(O=C([O-]1)C)[N]=4C=CC=CC4C5=CC(=CC(C=6C=CC=C[N]62)=[N]53)C7=CC=C(C=C7)N(C)C)C",NA,NA,"","C1C(C(OC1N2C=NC3=C2N=C(N=C3SCC4=CC=CC=C4)N)CO)O","O=O",NA,NA,NA,NA,NA,NA,98
47,"CC1=CC=CO1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1=CC=C(O1)B1OC(C)(C)C(C)(C)O1","[B-](CC)(CC)CC.[Na+]","[Br-][Co+2]12([Br-])[N]=3C(=CC=CC3N(CC)[Si-]41N(C(C=5C=CC=CC5)=[N+]4C(C)(C)C)C(C)(C)C)N(CC)[Si-]62N(C(C=7C=CC=CC7)=[N+]6C(C)(C)C)C(C)(C)C",NA,"",NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,87
48,"CCCCCCCC=O.CC1(C)OBOC1(C)C>>CCCCCCCCB1OC(C)(C)C(C)(C)O1","CC(C)(C)[O-].[K+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC(=CC(C=5C=CC=C[N]51)=[N]42)C=6C=CN=CC6",NA,"",NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,98
49,"CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC(C)(C)[Si](C)(C)OC1=CC(C=C)=CC=C1>>CC(C)(C)[Si](C)(C)OC1=CC=CC(CC(B2OC(C)(C)C(C)(C)O2)(B2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)=C1","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)(C)C)C(C)(C)C",NA,"","O=O",NA,NA,NA,"CCCCC","C1CCOC1",NA,NA,98
