id,smilesRXN,c1,c2,c3,c4,c5,r1,r2,r3,r4,r5,r6,r7,s1,s2,s3,s4,s5,y1
2503,COC1=CC(OC)=CC(Cl)=C1.CC1(C)COBOC1>>COC1=CC(=CC(OC)=C1)B1OCC(C)(C)CO1,12150-46-8,15629-92-2,,,,121-44-8,7440-66-6,12125-02-9,,,,,108-88-3,7732-18-5,,,,53
2504,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.IC1=CC=C(C=C1)N1C(=O)C2=CC=C3C(=O)N(C4=CC=C(I)C=C4)C(=O)C4=CC=C(C1=O)C2=C34>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)N1C(=O)C2=CC=C3C(=O)N(C4=CC=C(C=C4)B4OC(C)(C)C(C)(C)O4)C(=O)C4=CC=C(C1=O)C2=C34,14647-23-5,,,,,7087-68-5,,,,,,,108-88-3,,,,,53
2506,CC1(C)OB(OC1(C)C)C(=C)C1=CC=CC=C1.OCC1=CC=C(I)C=C1>>CC1(C)OB(OC1(C)C)C(CC1=CC=CC=C1)C1=CC=C(CO)C=C1,1894189-67-3,,,,,37342-97-5,,,,,,,109-99-9,,,,,53
2507,N[S](=O)(=O)C1=CC(=CC=C1)C#N.CC1(C)OB(OC1(C)C)C1=CC=C(Cl)C=C1>>CC1(C)OB(OC1(C)C)C1=CC=C(N[S](=O)(=O)C2=CC(=CC=C2)C#N)C=C1,2290490-29-6,,,,,865-48-5,,,,,,,109-99-9,,,,,53
2509,CCCCCC1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CCCCC(B1OC(C)(C)C(C)(C)O1)(B1OC(C)(C)C(C)(C)O1)C1=CC=CC=C1,2073878-16-5,,,,,120144-90-3,7782-44-7,,,,,,5614-37-9,,,,,53
2511,CC1(C)OB(OC1(C)C)C1=CC=C(Br)C=C1.[K+].O[CH-](CCC1=CC=CC=C1)[B+3]([F-])([F-])[F-]>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)C(O)CCC1=CC=CC=C1,28923-39-9,72914-19-3,1092775-62-6,,,7758-11-4,,,,,,,123-91-1,,,,,52
2512,CCC(Cl)B1OC(C)(C)C(C)(C)O1.FC(F)(F)C(=C)C1=CC=CS1>>CCC(CC(=C(F)F)C1=CC=CS1)B1OC(C)(C)C(C)(C)O1,28923-39-9,36697-72-0,,,,7440-66-6,7447-41-8,,,,,,872-50-4,,,,,52
2513,CCC\C=C\CCC.CC1(C)OB(OC1(C)C)C1=CC(I)=CC=C1>>CCCCCCCCC1=CC=CC(=C1)B1OC(C)(C)C(C)(C)O1,29046-78-4,1308311-06-9,,,,7789-23-3,998-30-1,,,,,,68-12-2,,,,,52
2516,O=C(ON1C(=O)C2=CC=CC=C2C1=O)C1(CC1)C1=CC=CC=C1.CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)C(=O)OC1=CC=CC=N1>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)C(=O)C1(CC1)C1=CC=CC=C1,29046-78-4,71071-46-0,1416881-52-1,,,1149-23-1,,,,,,,127-19-5,,,,,52
2517,CC1(C)OB(OC1(C)C)C1=CC(=CC=C1)C(=O)NC1=C(Br)C=CC=C1.[H+].CC(C)NC(C)C.CC(=O)OCC[CH2-][Si+4]123[O-]C4=CC=CC=C4[O-]1.[O-]2C1=CC=CC=C1[O-]3>>CC(=O)OCCCC1=C(NC(=O)C2=CC=CC(=C2)B2OC(C)(C)C(C)(C)O2)C=CC=C1,29046-78-4,72914-19-3,2064225-11-0,,,,,,,,,,109-99-9,68-12-2,,,,52
2521,IC1=CSC=C1.CC1(C)OB(OC1(C)C)C1=CC=C(C=O)C=C1>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)C(O)C1=CSC=C1,312696-09-6,1445884-31-0,,,,98-85-1,768-66-1,,,,,,108-88-3,,,,,52
2522,COC1=CC=C(I)C=C1.CC1(C)OB(OC1(C)C)\C=C\CCCCl>>COC1=CC=C(C=C1)C(CCCCCl)B1OC(C)(C)C(C)(C)O1,4411-80-7,312696-09-6,,,,7681-11-0,7789-23-3,998-30-1,7732-18-5,,,,75-05-8,127-19-5,,,,52
2523,ICCCC1=CC=CC=C1.[Li+].COC1=CC=[C-](C=C1)[B+3]1([O-]C(C)(C)C(C)(C)[O-]1)[CH-]=C>>COC1=CC=C(C=C1)[C@@H](CCCCC1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1,3264-82-2,2212688-94-1,,,,,,,,,,,109-99-9,,,,,52
2524,COC(=O)CCC\C=C\B1OC(C)(C)C(C)(C)O1.CCCCCC(I)CCCC1=CC=CC=C1>>CCCCCC(CCCC1=CC=CC=C1)C(CCCCC(=O)OC)B1OC(C)(C)C(C)(C)O1,312696-09-6,665004-47-7,,,,7789-23-3,2031-62-1,,,,,,127-19-5,,,,,52
2525,CC1(C)OB(OC1(C)C)C1=CC=C(Br)C=C1.[Li+].C[C-](C)(C)[B+3]12[O-]C3=CC=CC=C3C3=CC=CC(C4=CC=CC=C4[O-]1)=[C-]23>>CC(C)(C)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1,3264-82-2,,,,,7732-18-5,,,,,,,127-19-5,,,,,52
2526,CC1(C)OBOC1(C)C.FC(F)(F)C1=CC=C(C=C1)C#CCOCC=C>>CC1(C)OB(CC2COC\C2=C/C2=CC=C(C=C2)C(F)(F)F)OC1(C)C,3264-82-2,161265-03-8,,,,7782-44-7,,,,,,,108-88-3,,,,,52
2528,BrCCC1=CC=CC=C1.CC1(C)OB(OC1(C)C)C1=CC=C(Br)C=C1>>CC(C1=CC=CC=C1)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1,13873-42-2,,,,,7758-02-3,139-33-3,,,,,,127-19-5,141-78-6,7732-18-5,,,52
2530,C1OCC1C1=CC=CC=C1.CC1=CC(C)=C(B(Br)Br)C(C)=C1>>CC1=CC(C)=C(B2CC(CO2)C2=CC=CC=C2)C(C)=C1,2640505-89-9,,,,,7440-66-6,,,,,,,108-88-3,,,,,52
2531,CC1=CC(C)=C(B(Br)Br)C(C)=C1.CCOC(=O)C1=C(C=CC=C1)C1=CC=C2OCCC2=C1>>CCOC(=O)C1=C(C=CC=C1)C1=CC=C2OB(CCC2=C1)C1=C(C)C=C(C)C=C1C,2640505-89-9,,,,,7440-66-6,,,,,,,108-88-3,,,,,52
