,IncNodePurity,Features
PRO_BCUT2D_MRLOW,367.617779273769,PRO_BCUT2D_MRLOW
CAT_Chi0n,365.272045455242,CAT_Chi0n
PRO_VSA_EState2,361.460060750031,PRO_VSA_EState2
SOL.CCCCCC,359.168699592256,SOL.CCCCCC
RCTB_VSA_EState2,356.284660352391,RCTB_VSA_EState2
PRO_VSA_EState3,349.634409738584,PRO_VSA_EState3
CAT_SMR_VSA6,349.431438237576,CAT_SMR_VSA6
CAT_PEOE_VSA6,348.602906093047,CAT_PEOE_VSA6
CAT_Chi1n,341.653229943761,CAT_Chi1n
RCTB_PEOE_VSA5,340.420187434578,RCTB_PEOE_VSA5
PRO_80,340.161953716875,PRO_80
CAT_SlogP_VSA8,335.826657267338,CAT_SlogP_VSA8
CAT_188,327.700228583131,CAT_188
PRO_237,327.418125921524,PRO_237
CAT_PEOE_VSA9,321.509214013001,CAT_PEOE_VSA9
CAT_SMR_VSA3,318.951296760517,CAT_SMR_VSA3
RCTB_NumHAcceptors,309.470880626821,RCTB_NumHAcceptors
CAT_SMR_VSA4,308.830055403924,CAT_SMR_VSA4
CAT_RingCount,307.679836862336,CAT_RingCount
PRO_200,305.075325188305,PRO_200
PRO_BCUT2D_LOGPLOW,302.46450991198,PRO_BCUT2D_LOGPLOW
CAT_PEOE_VSA2,302.226416445512,CAT_PEOE_VSA2
PRO_248,298.746176430191,PRO_248
PRO_215,289.97040018819,PRO_215
PRO_SMR_VSA6,289.903776846805,PRO_SMR_VSA6
CAT_15,289.378125015463,CAT_15
PRO_202,288.660006774801,PRO_202
RCTB_116,287.708807480058,RCTB_116
RCTB_NOCount,285.11841597996,RCTB_NOCount
PRO_141,282.141986291886,PRO_141
RCTB_SMR_VSA9,279.415905288812,RCTB_SMR_VSA9
PRO_SlogP_VSA8,278.574511384996,PRO_SlogP_VSA8
CAT_SMR_VSA9,277.309174365423,CAT_SMR_VSA9
CAT_201,274.230911321861,CAT_201
PRO_244,265.080364912315,PRO_244
CAT_SlogP_VSA4,253.567603145747,CAT_SlogP_VSA4
PRO_SMR_VSA4,251.662815813147,PRO_SMR_VSA4
RCTB_PEOE_VSA1,248.592540477344,RCTB_PEOE_VSA1
RCTB_SMR_VSA6,246.999438757644,RCTB_SMR_VSA6
CAT_fr_halogen,245.254102606481,CAT_fr_halogen
PRO_25,241.457386042384,PRO_25
RCTA_Kappa3,241.331223502036,RCTA_Kappa3
CAT_202,241.037027040617,CAT_202
RCTB_fr_allylic_oxid,240.851603130754,RCTB_fr_allylic_oxid
CAT_NumAromaticCarbocycles,238.377929632422,CAT_NumAromaticCarbocycles
