,IncNodePurity,Features
CAT_Chi3n,798.975790323191,CAT_Chi3n
CAT_MaxEStateIndex,790.478882033845,CAT_MaxEStateIndex
RCTA_Kappa2,788.478603529665,RCTA_Kappa2
RCTB_SMR_VSA6,771.533240318854,RCTB_SMR_VSA6
RCTB_PEOE_VSA1,755.544113058938,RCTB_PEOE_VSA1
CAT_Chi3v,748.038256260599,CAT_Chi3v
RCTA_VSA_EState6,740.006421827028,RCTA_VSA_EState6
RCTB_36,737.061299252297,RCTB_36
CAT_Chi4v,736.577654567725,CAT_Chi4v
PRO_PEOE_VSA1,733.301201247608,PRO_PEOE_VSA1
RCTB_SlogP_VSA3,732.869289274641,RCTB_SlogP_VSA3
PRO_VSA_EState2,728.42907724153,PRO_VSA_EState2
RCTA_BCUT2D_CHGHI,725.523141107299,RCTA_BCUT2D_CHGHI
PRO_NumSaturatedHeterocycles,703.894954073872,PRO_NumSaturatedHeterocycles
RCTA_PEOE_VSA6,702.952582402653,RCTA_PEOE_VSA6
RCTB_SlogP_VSA1,694.728534532409,RCTB_SlogP_VSA1
RCTA_SlogP_VSA6,694.00669551042,RCTA_SlogP_VSA6
RCTB_SMR_VSA9,687.194134684814,RCTB_SMR_VSA9
RCTA_EState_VSA1,680.857030538352,RCTA_EState_VSA1
RCTA_Kappa3,670.628775608389,RCTA_Kappa3
CAT_Kappa2,662.7218877216,CAT_Kappa2
SOL.CC1.CC.CC.C1,661.478397584248,SOL.CC1.CC.CC.C1
RCTA_Chi3n,660.45780141903,RCTA_Chi3n
PRO_SMR_VSA6,659.930023902998,PRO_SMR_VSA6
RCTA_BCUT2D_CHGLO,650.871915825566,RCTA_BCUT2D_CHGLO
RCTA_Chi1v,638.079147294356,RCTA_Chi1v
RCTA_Chi2v,633.632029871121,RCTA_Chi2v
RCTA_BCUT2D_LOGPHI,616.64535776173,RCTA_BCUT2D_LOGPHI
RCTA_MaxAbsEStateIndex,615.231897267746,RCTA_MaxAbsEStateIndex
PRO_SlogP_VSA4,614.363506887746,PRO_SlogP_VSA4
RCTA_FpDensityMorgan2,607.375332591403,RCTA_FpDensityMorgan2
SOL.C1CCOC1,604.370592322489,SOL.C1CCOC1
RCTA_MolWt,596.829297076794,RCTA_MolWt
RCTA_NumRotatableBonds,595.341313116393,RCTA_NumRotatableBonds
RCTB_SlogP_VSA10,593.872999804203,RCTB_SlogP_VSA10
RCTA_MaxEStateIndex,590.573498419965,RCTA_MaxEStateIndex
CAT_Chi2v,584.377684019066,CAT_Chi2v
RCTB_180,577.241847101285,RCTB_180
RCTA_BertzCT,574.279001296997,RCTA_BertzCT
RCTB_SlogP_VSA12,571.367543706829,RCTB_SlogP_VSA12
PRO_EState_VSA10,570.095108233023,PRO_EState_VSA10
RCTA_Chi4n,561.832546728203,RCTA_Chi4n
CAT_SMR_VSA10,552.029911551903,CAT_SMR_VSA10
RCTA_LabuteASA,550.204020349159,RCTA_LabuteASA
RCTB_EState_VSA6,547.512874427206,RCTB_EState_VSA6
PRO_HeavyAtomCount,545.71067150069,PRO_HeavyAtomCount
CAT_Chi1v,543.559086281564,CAT_Chi1v
RCTA_HeavyAtomMolWt,539.170042197805,RCTA_HeavyAtomMolWt
RCTA_BCUT2D_MWHI,535.708399069212,RCTA_BCUT2D_MWHI
RCTA_ExactMolWt,518.830073991485,RCTA_ExactMolWt
PRO_NumAliphaticRings,518.512846448589,PRO_NumAliphaticRings
PRO_NumHAcceptors,509.330533158294,PRO_NumHAcceptors
RCTA_BalabanJ,509.236815175066,RCTA_BalabanJ
RCTA_MinAbsEStateIndex,507.483979591845,RCTA_MinAbsEStateIndex
PRO_NumAliphaticHeterocycles,506.912798317436,PRO_NumAliphaticHeterocycles
PRO_EState_VSA8,497.466536199536,PRO_EState_VSA8
CAT_MolWt,483.271758505874,CAT_MolWt
RCTB_147,477.831335092658,RCTB_147
PRO_231,475.331516230705,PRO_231
RCTA_Kappa1,467.626258742876,RCTA_Kappa1
RCTB_fr_halogen,457.003449407389,RCTB_fr_halogen
CAT_HallKierAlpha,454.053913525725,CAT_HallKierAlpha
RCTA_FractionCSP3,452.237660258158,RCTA_FractionCSP3
RCTB_SlogP_VSA8,451.755764344023,RCTB_SlogP_VSA8
PRO_SMR_VSA4,450.861918190152,PRO_SMR_VSA4
PRO_SMR_VSA9,448.310952537178,PRO_SMR_VSA9
RCTB_PEOE_VSA14,438.737498697357,RCTB_PEOE_VSA14
RCTA_SMR_VSA7,435.961512905896,RCTA_SMR_VSA7
CAT_ExactMolWt,433.576242263971,CAT_ExactMolWt
RCTA_FpDensityMorgan1,430.850691335205,RCTA_FpDensityMorgan1
RCTB_NumHAcceptors,428.052692876072,RCTB_NumHAcceptors
RCTB_157,425.569513979358,RCTB_157
RCTA_BCUT2D_LOGPLOW,421.521496690546,RCTA_BCUT2D_LOGPLOW
PRO_86,413.750070461144,PRO_86
RCTA_BCUT2D_MRLOW,402.875030410592,RCTA_BCUT2D_MRLOW
RCTA_Chi0v,400.722688019201,RCTA_Chi0v
RCTA_PEOE_VSA8,393.020308213793,RCTA_PEOE_VSA8
PRO_SlogP_VSA8,390.603237239593,PRO_SlogP_VSA8
RCTA_SlogP_VSA2,386.612071195239,RCTA_SlogP_VSA2
RCTA_BCUT2D_MRHI,384.783317414167,RCTA_BCUT2D_MRHI
RCTA_SMR_VSA10,384.712273941778,RCTA_SMR_VSA10
CAT_FpDensityMorgan3,382.784412580554,CAT_FpDensityMorgan3
CAT_HeavyAtomMolWt,380.915468245536,CAT_HeavyAtomMolWt
PRO_207,376.78406400702,PRO_207
PRO_210,369.800646388908,PRO_210
RCTA_fr_alkyl_halide,369.309973602913,RCTA_fr_alkyl_halide
CAT_FractionCSP3,369.103727550181,CAT_FractionCSP3
RCTB_111,367.72986366299,RCTB_111
PRO_NOCount,364.551256551043,PRO_NOCount
RCTA_NumValenceElectrons,364.470661190491,RCTA_NumValenceElectrons
CAT_SMR_VSA1,361.490516146239,CAT_SMR_VSA1
RCTA_HeavyAtomCount,357.540314987882,RCTA_HeavyAtomCount
CAT_SlogP_VSA2,354.090959692314,CAT_SlogP_VSA2
CAT_LabuteASA,348.934373587948,CAT_LabuteASA
RCTA_PEOE_VSA7,347.646197360112,RCTA_PEOE_VSA7
RCTB_167,347.273388375387,RCTB_167
CAT_PEOE_VSA8,347.196796446218,CAT_PEOE_VSA8
RCTB_PEOE_VSA2,344.579446181692,RCTB_PEOE_VSA2
CAT_BalabanJ,343.582655165719,CAT_BalabanJ
CAT_PEOE_VSA11,340.048428535671,CAT_PEOE_VSA11
RCTB_95,337.377796458334,RCTB_95
PRO_199,336.812976908999,PRO_199
RCTB_247,334.922311014875,RCTB_247
RCTB_177,330.6913205755,RCTB_177
RCTB_186,326.056002914708,RCTB_186
CAT_SlogP_VSA3,323.086759586061,CAT_SlogP_VSA3
RCTB_235,320.31129790563,RCTB_235
CAT_MolLogP,318.572039700559,CAT_MolLogP
PRO_172,318.502796624478,PRO_172
RCTB_200,318.338715025838,RCTB_200
RCTB_182,316.929460963644,RCTB_182
CAT_Kappa1,315.876146521231,CAT_Kappa1
PRO_NumAromaticCarbocycles,315.460686508758,PRO_NumAromaticCarbocycles
CAT_FpDensityMorgan1,305.971924947838,CAT_FpDensityMorgan1
CAT_MolMR,305.634999056625,CAT_MolMR
RCTB_172,305.352762286598,RCTB_172
RCTB_RingCount,304.301727544207,RCTB_RingCount
CAT_Chi0v,302.845082377003,CAT_Chi0v
RCTB_fr_allylic_oxid,300.741936663997,RCTB_fr_allylic_oxid
CAT_VSA_EState8,298.55546419039,CAT_VSA_EState8
CAT_VSA_EState7,297.691385091182,CAT_VSA_EState7
RCTB_227,297.532391884911,RCTB_227
RCTB_0,293.13418111716,RCTB_0
PRO_9,290.262957488111,PRO_9
RCTB_128,285.576828976401,RCTB_128
RCTB_219,284.382314873597,RCTB_219
RCTB_NOCount,283.321896688222,RCTB_NOCount
CAT_FpDensityMorgan2,281.373157707615,CAT_FpDensityMorgan2
PRO_SlogP_VSA10,278.475016749298,PRO_SlogP_VSA10
CAT_Chi1,276.935922357955,CAT_Chi1
RCTB_199,276.852498005623,RCTB_199
RCTB_133,276.151378899076,RCTB_133
CAT_PEOE_VSA1,275.745442881131,CAT_PEOE_VSA1
CAT_Chi2n,274.816247608004,CAT_Chi2n
CAT_VSA_EState1,272.971827687794,CAT_VSA_EState1
RCTA_EState_VSA8,266.358683172083,RCTA_EState_VSA8
RCTB_231,264.727125755625,RCTB_231
RCTB_SMR_VSA3,264.715833422023,RCTB_SMR_VSA3
RCTB_fr_ether,264.47776643648,RCTB_fr_ether
RCTB_64,263.960321163405,RCTB_64
RCTB_25,263.42838548539,RCTB_25
PRO_105,261.747891687373,PRO_105
PRO_206,261.067270585444,PRO_206
RCTB_175,260.880295001584,RCTB_175
PRO_RingCount,260.448986498332,PRO_RingCount
